"ville;CP;Latitude ville;Longitude ville"
"Andelu;78770;48.88000;1.82500"
"Andrésy;78570;48.98222;2.05889"
"Arnouville-lès-Mantes;78790;48.91111;1.73361"
"Aubergenville;78410;48.95972;1.85528"
"Auffargis;78610;48.70222;1.88694"
"Auffreville-Brasseuil;78930;48.95611;1.71139"
"Aulnay-sur-Mauldre;78126;48.93083;1.84083"
"Auteuil;78770;48.84167;1.81861"
"Autouillet;78770;48.84972;1.80444"
"Bailly;78870;48.84278;2.08111"
"Bazainville;78550;48.80333;1.67111"
"Bazemont;78580;48.92889;1.86528"
"Bazoches-sur-Guyonne;78490;48.77889;1.86056"
"Béhoust;78910;48.83028;1.72278"
"Bennecourt;78270;49.04000;1.56583"
"Beynes;78650;48.85695;1.87333"
"Blaru;78270;49.04778;1.47972"
"Boinville-en-Mantois;78930;48.93000;1.75722"
"Boinville-le-Gaillard;78660;48.49361;1.87167"
"Boinvilliers;78200;48.91806;1.66222"
"Bois-d'Arcy;78390;48.80333;2.04000"
"Boissets;78910;48.86083;1.58472"
"la Boissière-École;78125;48.68278;1.64528"
"Boissy-Mauvoisin;78200;48.96222;1.58000"
"Boissy-sans-Avoir;78490;48.82028;1.79444"
"Bonnelles;78830;48.61750;2.03028"
"Bonnières-sur-Seine;78270;49.03500;1.58028"
"Bouafle;78410;48.96556;1.89694"
"Bougival;78380;48.86528;2.14389"
"Bourdonné;78113;48.75583;1.66444"
"Breuil-Bois-Robert;78930;48.94528;1.71722"
"Bréval;78980;48.94444;1.53417"
"les Bréviaires;78610;48.70750;1.81306"
"Brueil-en-Vexin;78440;49.02972;1.81889"
"Buc;78530;48.77361;2.12750"
"Buchelay;78200;48.98028;1.67139"
"Bullion;78830;48.62194;1.99667"
"Carrières-sous-Poissy;78955;48.94111;2.02083"
"Carrières-sur-Seine;78420;48.91472;2.18639"
"la Celle-les-Bordes;78720;48.63528;1.95472"
"la Celle-Saint-Cloud;78170;48.84111;2.13444"
